federal_account_code,account_title,short_account_title,agency_identifier,main_account_code,managing_agency,managing_agency_acronym,parent_agency_toptier_code,bureau_name,bureau_slug,account_id,budgetary_resources_fy2026
069-1734,"Strengthening Mobility and Revolutionizing Transportation Grant Program, Office of the Secretary, Transportation","Strengthening Mobility and Revolutionizing Transportation Grant Program, Office of the Secretary, Transportation",069,1734,Department of Transportation,DOT,069,Office of the Secretary,office-of-the-secretary,6448,42770882.0
069-1735,"Safe Streets and Roads for All, Office of the Secretary, Transportation","Safe Streets and Roads for All, Office of the Secretary, Transportation",069,1735,Department of Transportation,DOT,069,Office of the Secretary,office-of-the-secretary,6449,4303654189.92
069-1736,"Asset Concessions and Innovative Finance Assistance, Office of the Secretary, Transportation","Asset Concessions and Innovative Finance Assistance, Office of the Secretary, Transportation",069,1736,Department of Transportation,DOT,069,Office of the Secretary,office-of-the-secretary,6450,51977143.5
069-1750,"Operations and Training, Maritime Administration, Transportation","Operations and Training, Maritime Administration, Transportation",069,1750,Department of Transportation,DOT,069,Maritime Administration,maritime-administration,5060,532344351.97
069-1751,"Ocean Freight Differential, Maritime Administration, Transportation","Ocean Freight Differential, Maritime Administration, Transportation",069,1751,Department of Transportation,DOT,069,Maritime Administration,maritime-administration,5061,
069-1752,"Maritime Guaranteed Loan, (Title XI) Program Account, Maritime Administration, Transportation","Maritime Guaranteed Loan, (Title XI) Program Account, Maritime Administration, Transportation",069,1752,Department of Transportation,DOT,069,Maritime Administration,maritime-administration,5062,105390095.0
069-1768,"Ship Disposal, Maritime Administration, Transportation","Ship Disposal, Maritime Administration, Transportation",069,1768,Department of Transportation,DOT,069,Maritime Administration,maritime-administration,5064,14563994.97
069-1769,"Expenses, National Defense Tank Vessel Construction Program, Maritime Administration, Transportation","Expenses, National Defense Tank Vessel Construction Program, Maritime Administration, Transportation",069,1769,Department of Transportation,DOT,069,Maritime Administration,maritime-administration,5065,
069-1770,"Assistance to Shipyards, Maritime Administration, Transportation","Assistance to Shipyards, Maritime Administration, Transportation",069,1770,Department of Transportation,DOT,069,Maritime Administration,maritime-administration,5066,36301918.11
069-1774,"Northeast Corridor Grants to the National Railroad Passenger Corporation, Transportation","Northeast Corridor Grants to the National Railroad Passenger Corporation, Transportation",069,1774,Department of Transportation,DOT,069,Federal Railroad Administration,federal-railroad-administration,5068,2065280000.94
069-1775,"National Network Grants to the National Railroad Passenger Corporation, Transportation","National Network Grants to the National Railroad Passenger Corporation, Transportation",069,1775,Department of Transportation,DOT,069,Federal Railroad Administration,federal-railroad-administration,5069,4971121712.35
069-2810,"Federal-State Partnership for Intercity Passenger Rail Grants, Federal Railroad Administration, Transportation","Federal-State Partnership for Intercity Passenger Rail Grants, Federal Railroad Administration, Transportation",069,2810,Department of Transportation,DOT,069,Federal Railroad Administration,federal-railroad-administration,5070,19739237837.33
069-2811,"Consolidated Rail Infrastructure and Safety Improvements Grants, Federal Railroad Administration, Transportation","Consolidated Rail Infrastructure and Safety Improvements Grants, Federal Railroad Administration, Transportation",069,2811,Department of Transportation,DOT,069,Federal Railroad Administration,federal-railroad-administration,5071,5620816637.45
069-2812,"Transit Infrastructure Grants, Federal Transit Administration, Transportation","Transit Infrastructure Grants, Federal Transit Administration, Transportation",069,2812,Department of Transportation,DOT,069,Federal Transit Administration,federal-transit-administration,5072,5930634441.23
069-2813,"Grants-In-Aid for Airports, Federal Aviation Administration, Transportation","Grants-In-Aid for Airports, Federal Aviation Administration, Transportation",069,2813,Department of Transportation,DOT,069,Federal Aviation Administration,federal-aviation-administration,5073,0.0
069-2815,"Relief for Airports, Federal Aviation Administration, Transportation","Relief for Airports, Federal Aviation Administration, Transportation",069,2815,Department of Transportation,DOT,069,Federal Aviation Administration,federal-aviation-administration,6380,19138849.61
069-2816,"Emergency FAA Employee Leave Fund, Federal Aviation Administration, Transportation","Emergency FAA Employee Leave Fund, Federal Aviation Administration, Transportation",069,2816,Department of Transportation,DOT,069,Federal Aviation Administration,federal-aviation-administration,6381,7857190.64
069-2817,"Motor Carrier Safety Grants, Federal Motor Carrier Safety Administration, Transportation","Motor Carrier Safety Grants, Federal Motor Carrier Safety Administration, Transportation",069,2817,Department of Transportation,DOT,069,Federal Motor Carrier Safety Administration,federal-motor-carrier-safety-administration,6451,196465241.47
069-2818,"Motor Carrier Safety Operations and Programs, Federal Motor Carrier Safety Administration, Transportation","Motor Carrier Safety Operations and Programs, Federal Motor Carrier Safety Administration, Transportation",069,2818,Department of Transportation,DOT,069,Federal Motor Carrier Safety Administration,federal-motor-carrier-safety-administration,6452,7810468.08
069-2819,"Grants-in-Aid for Airports, Federal Aviation Administration, Transportation","Grants-in-Aid for Airports, Federal Aviation Administration, Transportation",069,2819,Department of Transportation,DOT,069,Federal Aviation Administration,federal-aviation-administration,6469,930201221.51
069-2820,"Rural and Tribal Infrastructure Advancement, Office of the Secretary, Transportation","Rural and Tribal Infrastructure Advancement, Office of the Secretary, Transportation",069,2820,Department of Transportation,DOT,069,Office of the Secretary,office-of-the-secretary,7006,60000000.0
069-4089,"Great Lakes St. Lawrence Seaway Development Corporation Fund, Transportation","Great Lakes St. Lawrence Seaway Development Corporation Fund, Transportation",069,4089,Department of Transportation,DOT,069,Great Lakes St. Lawrence Seaway Development Corporation,great-lakes-st-lawrence-seaway-development-corporation,5074,95159459.46
069-4120,"Aviation Insurance Revolving Fund, Transportation","Aviation Insurance Revolving Fund, Transportation",069,4120,Department of Transportation,DOT,069,Federal Aviation Administration,federal-aviation-administration,5075,2786239189.14
069-4302,"War-Risk Insurance Revolving Fund, Maritime Administration, Transportation","War-Risk Insurance Revolving Fund, Maritime Administration, Transportation",069,4302,Department of Transportation,DOT,069,Maritime Administration,maritime-administration,5077,57749871.66
069-4303,"Vessel Operations Revolving Fund, Maritime Administration, Transportation","Vessel Operations Revolving Fund, Maritime Administration, Transportation",069,4303,Department of Transportation,DOT,069,Maritime Administration,maritime-administration,5078,56560976.06
069-4411,"Financing Funds, Railroad Rehabilitation and Improvement, Liquidating Account, Office of the Secretary, Transportation","Financing Funds, Railroad Rehabilitation and Improvement, Liquidating Account, Office of the Secretary, Transportation",069,4411,Department of Transportation,DOT,069,Office of the Secretary,office-of-the-secretary,5080,
069-4520,"Working Capital Fund, Office of the Secretary,Transportation","Working Capital Fund, Office of the Secretary,Transportation",069,4520,Department of Transportation,DOT,069,Office of the Secretary,office-of-the-secretary,5081,1137653536.68
069-4522,"Working Capital Fund, Transportation Systems Center, Transportation","Working Capital Fund, Transportation Systems Center, Transportation",069,4522,Department of Transportation,DOT,069,Office of the Secretary,office-of-the-secretary,5082,678947766.67
069-4562,"Administrative Services Franchise Fund, Federal Aviation Administration, Transportation","Administrative Services Franchise Fund, Federal Aviation Administration, Transportation",069,4562,Department of Transportation,DOT,069,Federal Aviation Administration,federal-aviation-administration,5083,1079280183.85
069-5172,"Pipeline Safety, Pipeline and Hazardous Materials Safety Administration, Transportation","Pipeline Safety, Pipeline and Hazardous Materials Safety Administration, Transportation",069,5172,Department of Transportation,DOT,069,Pipeline and Hazardous Materials Safety Administration,pipeline-and-hazardous-materials-safety-administration,5084,313758567.47
069-5282,"Emergency Preparedness Grant, Pipeline and Hazardous Materials Safety Administration, Transportation","Emergency Preparedness Grant, Pipeline and Hazardous Materials Safety Administration, Transportation",069,5282,Department of Transportation,DOT,069,Pipeline and Hazardous Materials Safety Administration,pipeline-and-hazardous-materials-safety-administration,5085,36778695.31
069-5422,"Aviation User Fees, Federal Aviation Administration, Transportation","Aviation User Fees, Federal Aviation Administration, Transportation",069,5422,Department of Transportation,DOT,069,Federal Aviation Administration,federal-aviation-administration,5086,31336291.09
069-5423,"Essential Air Service and Rural Airport Improvement Fund, Office of the Secretary, Transportation","Essential Air Service and Rural Airport Improvement Fund, Office of the Secretary, Transportation",069,5423,Department of Transportation,DOT,069,Office of the Secretary,office-of-the-secretary,5087,273689153.67
069-5560,"Port of Guam Improvement Enterprise Fund, Maritime Administration, Transportation","Port of Guam Improvement Enterprise Fund, Maritime Administration, Transportation",069,5560,Department of Transportation,DOT,069,Maritime Administration,maritime-administration,5088,1872431.11
069-8001,"Intermodal Urban Demonstration Project, Federal Highway Administration, Transportation","Intermodal Urban Demonstration Project, Federal Highway Administration, Transportation",069,8001,Department of Transportation,DOT,069,Federal Highway Administration,federal-highway-administration,5100,0.0
069-8002,"Carpool and Vanpool Projects, Federal Highway Administration","Carpool and Vanpool Projects, Federal Highway Administration",069,8002,Department of Transportation,DOT,069,Federal Highway Administration,federal-highway-administration,5101,0.0
069-8003,"Operations and Maintenance, Great Lakes St. Lawrence Seaway Development Corporation, Transportation","Operations and Maintenance, Great Lakes St. Lawrence Seaway Development Corporation, Transportation",069,8003,Department of Transportation,DOT,069,Great Lakes St. Lawrence Seaway Development Corporation,great-lakes-st-lawrence-seaway-development-corporation,5102,34000000.0
069-8009,"Trust Fund Share of Other Highway Programs, Federal Highway Administration, Transportation","Trust Fund Share of Other Highway Programs, Federal Highway Administration, Transportation",069,8009,Department of Transportation,DOT,069,Federal Highway Administration,federal-highway-administration,5103,302094.56
069-8014,"Baltimore-Washington Parkway Trust Fund, Federal Highway Administration, Transportation","Baltimore-Washington Parkway Trust Fund, Federal Highway Administration, Transportation",069,8014,Department of Transportation,DOT,069,Federal Highway Administration,federal-highway-administration,5104,0.0
069-8016,"Operation and Research, Liquidation of Contract Authorization, Limitation on Obligations, Highway Trust Fund, Transportation","Operation and Research, Liquidation of Contract Authorization, Limitation on Obligations, Highway Trust Fund, Transportation",069,8016,Department of Transportation,DOT,069,National Highway Traffic Safety Administration,national-highway-traffic-safety-administration,5105,280348308.06
069-8017,"Highway Safety Research and Development, Federal Highway Administration, Transportation","Highway Safety Research and Development, Federal Highway Administration, Transportation",069,8017,Department of Transportation,DOT,069,Federal Highway Administration,federal-highway-administration,5106,0.0
069-8019,"Highway-Related Safety Grants, Liquidation of Contract Authorization, Trust Fund, Federal Highway Administration, Transportation","Highway-Related Safety Grants, Liquidation of Contract Authorization, Trust Fund, Federal Highway Administration, Transportation",069,8019,Department of Transportation,DOT,069,Federal Highway Administration,federal-highway-administration,5107,0.0
069-8020,"Highway Traffic Safety Grants, Liquidation of Contract Authorization, Trust Fund, National Highway Traffic Safety Administration, Transportation","Highway Traffic Safety Grants, Liquidation of Contract Authorization, Trust Fund, National Highway Traffic Safety Administration, Transportation",069,8020,Department of Transportation,DOT,069,National Highway Traffic Safety Administration,national-highway-traffic-safety-administration,5108,1000579760.59
069-8045,"Study of Improvements to Highway 8 in Wisconsin, Federal Highway Administration, Transportation","Study of Improvements to Highway 8 in Wisconsin, Federal Highway Administration, Transportation",069,8045,Department of Transportation,DOT,069,Federal Highway Administration,federal-highway-administration,5110,0.0
069-8048,"National Motor Carrier Safety Program, Liquidation of Contract Authorization, Federal Motor Carrier Safety Administration, Transportation","National Motor Carrier Safety Program, Liquidation of Contract Authorization, Federal Motor Carrier Safety Administration, Transportation",069,8048,Department of Transportation,DOT,069,Federal Motor Carrier Safety Administration,federal-motor-carrier-safety-administration,5111,9896126.91
069-8049,"Vehicular and Pedestrian Safety Demonstration Project, Federal Highway Administration, Transportation","Vehicular and Pedestrian Safety Demonstration Project, Federal Highway Administration, Transportation",069,8049,Department of Transportation,DOT,069,Federal Highway Administration,federal-highway-administration,5112,
069-8054,"Advances from State Cooperating Agencies, Foreign Governments, and Other Federal Agencies, Federal Highway Administration, Transportation","Advances from State Cooperating Agencies, Foreign Governments, and Other Federal Agencies, Federal Highway Administration, Transportation",069,8054,Department of Transportation,DOT,069,Federal Highway Administration,federal-highway-administration,5113,26057245.82
069-8055,"Motor Carrier Safety, Limitation on Administrative Expenses, Federal Motor Carrier Safety Administration, Transportation","Motor Carrier Safety, Limitation on Administrative Expenses, Federal Motor Carrier Safety Administration, Transportation",069,8055,Department of Transportation,DOT,069,Federal Motor Carrier Safety Administration,federal-motor-carrier-safety-administration,5114,
069-8057,"Bridge Capacity Improvement, Federal Highway Administration, Transportation","Bridge Capacity Improvement, Federal Highway Administration, Transportation",069,8057,Department of Transportation,DOT,069,Federal Highway Administration,federal-highway-administration,5115,0.0
069-8058,"Miscellaneous Highway Project, Federal Highway Administration, Transportation","Miscellaneous Highway Project, Federal Highway Administration, Transportation",069,8058,Department of Transportation,DOT,069,Federal Highway Administration,federal-highway-administration,5116,26855589.41
069-8061,"Construction and Improvements to Halls Mills Road, New Jersey, Federal Highway Administration, Transportation","Construction and Improvements to Halls Mills Road, New Jersey, Federal Highway Administration, Transportation",069,8061,Department of Transportation,DOT,069,Federal Highway Administration,federal-highway-administration,5117,1000000.0
069-8072,"Appalachian Development Highway System, Federal Highway Administration, Transportation","Appalachian Development Highway System, Federal Highway Administration, Transportation",069,8072,Department of Transportation,DOT,069,Federal Highway Administration,federal-highway-administration,5118,4000.0
069-8076,"Highway Safety and Economic Development Projects, Federal Highway Administration, Transportation","Highway Safety and Economic Development Projects, Federal Highway Administration, Transportation",069,8076,Department of Transportation,DOT,069,Federal Highway Administration,federal-highway-administration,5119,
069-8081,"Highway-Railroad Grade Crossing Safety Demonstration Project, Federal Highway Administration, Transportation","Highway-Railroad Grade Crossing Safety Demonstration Project, Federal Highway Administration, Transportation",069,8081,Department of Transportation,DOT,069,Federal Highway Administration,federal-highway-administration,5120,
069-8082,"Nuclear Waste Transportation Safety Demonstration Project, Federal Highway Administration, Transportation","Nuclear Waste Transportation Safety Demonstration Project, Federal Highway Administration, Transportation",069,8082,Department of Transportation,DOT,069,Federal Highway Administration,federal-highway-administration,5121,
069-8083,"Federal-Aid Highways, Liquidation of Contract Authorization, Federal Highway Administration, Transportation","Federal-Aid Highways, Liquidation of Contract Authorization, Federal Highway Administration, Transportation",069,8083,Department of Transportation,DOT,069,Federal Highway Administration,federal-highway-administration,5122,67598363860.74
069-8087,"Highway Safety Improvement Demonstration Projects, Federal Highway Administration, Transportation","Highway Safety Improvement Demonstration Projects, Federal Highway Administration, Transportation",069,8087,Department of Transportation,DOT,069,Federal Highway Administration,federal-highway-administration,5123,
069-8102,"Highway Trust Fund - Treasury Managed, Transportation","Highway Trust Fund - Treasury Managed, Transportation",069,8102,Department of Transportation,DOT,069,Federal Highway Administration,federal-highway-administration,5124,80525.0
069-8103,"Airport and Airway Trust Fund - Treasury Managed, Transportation","Airport and Airway Trust Fund - Treasury Managed, Transportation",069,8103,Department of Transportation,DOT,069,Federal Aviation Administration,federal-aviation-administration,5125,0.0
069-8104,"Operations, Airport and Airway Trust Fund, Federal Aviation Administration, Transportation","Operations, Airport and Airway Trust Fund, Federal Aviation Administration, Transportation",069,8104,Department of Transportation,DOT,069,Federal Aviation Administration,federal-aviation-administration,5126,13040600000.0
069-8106,"Grants-In-Aid for Airports, Liquidation of Contract Authorization, Airport and Airway Trust Fund, Federal Aviation Administration, Transportation","Grants-In-Aid for Airports, Liquidation of Contract Authorization, Airport and Airway Trust Fund, Federal Aviation Administration, Transportation",069,8106,Department of Transportation,DOT,069,Federal Aviation Administration,federal-aviation-administration,5127,4309109065.33
069-8107,"Facilities and Equipment, Airport and Airway Trust Fund, Federal Aviation Administration, Transportation","Facilities and Equipment, Airport and Airway Trust Fund, Federal Aviation Administration, Transportation",069,8107,Department of Transportation,DOT,069,Federal Aviation Administration,federal-aviation-administration,5128,6448217870.32
069-8108,"Research, Engineering and Development, Airport and Airway Trust Fund, Federal Aviation Administration, Transportation","Research, Engineering and Development, Airport and Airway Trust Fund, Federal Aviation Administration, Transportation",069,8108,Department of Transportation,DOT,069,Federal Aviation Administration,federal-aviation-administration,5129,707294148.84
069-8120,"Corridor Safety Improvement Demonstration Project, Federal Highway Administration, Transportation","Corridor Safety Improvement Demonstration Project, Federal Highway Administration, Transportation",069,8120,Department of Transportation,DOT,069,Federal Highway Administration,federal-highway-administration,5130,0.0
069-8121,"Trust Fund Share of Pipeline Safety, Pipeline and Hazardous Materials Safety Administration, Transportation","Trust Fund Share of Pipeline Safety, Pipeline and Hazardous Materials Safety Administration, Transportation",069,8121,Department of Transportation,DOT,069,Pipeline and Hazardous Materials Safety Administration,pipeline-and-hazardous-materials-safety-administration,5131,30000000.0
069-8158,"Motor Carrier Safety Grants, Federal Motor Carrier Safety Administration, Transportation","Motor Carrier Safety Grants, Federal Motor Carrier Safety Administration, Transportation",069,8158,Department of Transportation,DOT,069,Federal Motor Carrier Safety Administration,federal-motor-carrier-safety-administration,5132,740645681.15
069-8159,"Motor Carrier Safety Operations and Programs, Federal Motor Carrier Safety Administration, Transportation","Motor Carrier Safety Operations and Programs, Federal Motor Carrier Safety Administration, Transportation",069,8159,Department of Transportation,DOT,069,Federal Motor Carrier Safety Administration,federal-motor-carrier-safety-administration,5133,669286336.66
069-8191,"Discretionary Grants, Liquidation of Contract Authorization, Highway Trust Fund, Federal Transit Administration, Transportation","Discretionary Grants, Liquidation of Contract Authorization, Highway Trust Fund, Federal Transit Administration, Transportation",069,8191,Department of Transportation,DOT,069,Federal Transit Administration,federal-transit-administration,5134,14857739.86
069-8264,"Contributions for Highway Research Program, Federal Highway Administration, Transportation","Contributions for Highway Research Program, Federal Highway Administration, Transportation",069,8264,Department of Transportation,DOT,069,Federal Highway Administration,federal-highway-administration,5135,2196359.56
069-8265,"Cooperative Work, Forest Highways, Federal Highway Administration, Transportation","Cooperative Work, Forest Highways, Federal Highway Administration, Transportation",069,8265,Department of Transportation,DOT,069,Federal Highway Administration,federal-highway-administration,5136,3165092.83
069-8304,"Payment to Air Carriers, Office of the Secretary, Transportation","Payment to Air Carriers, Office of the Secretary, Transportation",069,8304,Department of Transportation,DOT,069,Office of the Secretary,office-of-the-secretary,5137,543693824.9
069-8309,"Right of Way Revolving Fund Program Account, Federal Highway Administration, Transportation","Right of Way Revolving Fund Program Account, Federal Highway Administration, Transportation",069,8309,Department of Transportation,DOT,069,Federal Highway Administration,federal-highway-administration,5138,0.0
069-8346,"Alaska Pipeline Task Force, Oil Spill Liability Trust Fund, Pipeline and Hazardous Materials Safety Administration, Transportation","Alaska Pipeline Task Force, Oil Spill Liability Trust Fund, Pipeline and Hazardous Materials Safety Administration, Transportation",069,8346,Department of Transportation,DOT,069,Pipeline and Hazardous Materials Safety Administration,pipeline-and-hazardous-materials-safety-administration,5139,
069-8350,"Formula and Bus Grants, Liquidation of Contract Authorization, Federal Transit Administration, Transportation","Formula and Bus Grants, Liquidation of Contract Authorization, Federal Transit Administration, Transportation",069,8350,Department of Transportation,DOT,069,Federal Transit Administration,federal-transit-administration,5140,39414766010.04
069-8362,"National Driver Register, National Highway Traffic Safety Administration, Transportation","National Driver Register, National Highway Traffic Safety Administration, Transportation",069,8362,Department of Transportation,DOT,069,National Highway Traffic Safety Administration,national-highway-traffic-safety-administration,5141,413814.12
069-8363,"Highway Demonstration Projects, Federal Highway Administration, Transportation","Highway Demonstration Projects, Federal Highway Administration, Transportation",069,8363,Department of Transportation,DOT,069,Federal Highway Administration,federal-highway-administration,5142,
069-8371,"International Highway Transportation Outreach Program, Federal Highway Administration, Transportation","International Highway Transportation Outreach Program, Federal Highway Administration, Transportation",069,8371,Department of Transportation,DOT,069,Federal Highway Administration,federal-highway-administration,5143,266396.73
069-8374,"Climbing Lane and Highway Safety Demonstration Project, Federal Highway Administration, Transportation","Climbing Lane and Highway Safety Demonstration Project, Federal Highway Administration, Transportation",069,8374,Department of Transportation,DOT,069,Federal Highway Administration,federal-highway-administration,5144,
069-8375,"Alabama Highway Bypass Demonstration Project, Federal Highway Administration, Transportation","Alabama Highway Bypass Demonstration Project, Federal Highway Administration, Transportation",069,8375,Department of Transportation,DOT,069,Federal Highway Administration,federal-highway-administration,5145,
069-8376,"Kentucky Bridge Demonstration Project, Federal Highway Administration, Transportation","Kentucky Bridge Demonstration Project, Federal Highway Administration, Transportation",069,8376,Department of Transportation,DOT,069,Federal Highway Administration,federal-highway-administration,5146,
069-8377,"Virginia HOV Safety Demonstration Project, Federal Highway Administration, Transportation","Virginia HOV Safety Demonstration Project, Federal Highway Administration, Transportation",069,8377,Department of Transportation,DOT,069,Federal Highway Administration,federal-highway-administration,5147,
069-8378,"Urban Highway Corridor and Bicycle Transportation Demonstration Projects, Federal Highway Administration, Transportation","Urban Highway Corridor and Bicycle Transportation Demonstration Projects, Federal Highway Administration, Transportation",069,8378,Department of Transportation,DOT,069,Federal Highway Administration,federal-highway-administration,5148,
069-8380,"Pennsylvania Toll Road Demonstration Project, Federal Highway Administration, Transportation","Pennsylvania Toll Road Demonstration Project, Federal Highway Administration, Transportation",069,8380,Department of Transportation,DOT,069,Federal Highway Administration,federal-highway-administration,5149,
069-8381,"Pennsylvania Reconstruction Demonstration Project, Federal Highway Administration, Transportation","Pennsylvania Reconstruction Demonstration Project, Federal Highway Administration, Transportation",069,8381,Department of Transportation,DOT,069,Federal Highway Administration,federal-highway-administration,5150,0.0
069-8382,"Highway Projects, Federal Highway Administration, Transportation","Highway Projects, Federal Highway Administration, Transportation",069,8382,Department of Transportation,DOT,069,Federal Highway Administration,federal-highway-administration,5151,7226528.47
069-8386,"Mineola Grade Crossing, Federal Highway Administration, Transportation","Mineola Grade Crossing, Federal Highway Administration, Transportation",069,8386,Department of Transportation,DOT,069,Federal Highway Administration,federal-highway-administration,5152,462.0
069-8390,"Metropolitan Planning Trust Fund, Federal Highway Administration, Transportation","Metropolitan Planning Trust Fund, Federal Highway Administration, Transportation",069,8390,Department of Transportation,DOT,069,Federal Highway Administration,federal-highway-administration,5153,
069-8402,"Right-of-Way Revolving Fund, Liquidation of Contract Authorization, Trust Fund, Federal Highway Administration, Transportation","Right-of-Way Revolving Fund, Liquidation of Contract Authorization, Trust Fund, Federal Highway Administration, Transportation",069,8402,Department of Transportation,DOT,069,Federal Highway Administration,federal-highway-administration,5154,0.0
069-8502,"Technical Assistance, United States Dollars Advanced from Foreign Governments, Federal Highway Administration, Transportation","Technical Assistance, United States Dollars Advanced from Foreign Governments, Federal Highway Administration, Transportation",069,8502,Department of Transportation,DOT,069,Federal Highway Administration,federal-highway-administration,5155,324060.46
069-8503,"Gifts and Bequests, Maritime Administration, Transportation","Gifts and Bequests, Maritime Administration, Transportation",069,8503,Department of Transportation,DOT,069,Maritime Administration,maritime-administration,5156,7979164.62
069-8547,"Special Studies, Services and Projects, Maritime Administration, Transportation","Special Studies, Services and Projects, Maritime Administration, Transportation",069,8547,Department of Transportation,DOT,069,Maritime Administration,maritime-administration,5157,4198.07
069-8548,"Gifts and Bequests, Office of the Secretary, Transportation","Gifts and Bequests, Office of the Secretary, Transportation",069,8548,Department of Transportation,DOT,069,Office of the Secretary,office-of-the-secretary,5158,0.0
069-8552,"High-Speed Ground Transportation, Liquidation of Contract Authorization, Federal Railroad Administration, Transportation","High-Speed Ground Transportation, Liquidation of Contract Authorization, Federal Railroad Administration, Transportation",069,8552,Department of Transportation,DOT,069,Federal Railroad Administration,federal-railroad-administration,5159,
069-8632,"Equipment, Supplies, Etc., for Cooperating Countries, Federal Highway Administration, Transportation","Equipment, Supplies, Etc., for Cooperating Countries, Federal Highway Administration, Transportation",069,8632,Department of Transportation,DOT,069,Federal Highway Administration,federal-highway-administration,5160,6708.74
069-8634,"National Surface Transportation Finance Bureau, Highway Trust Fund Account, Transportation","National Surface Transportation Finance Bureau, Highway Trust Fund Account, Transportation",069,8634,Department of Transportation,DOT,069,Office of the Secretary,office-of-the-secretary,5161,321735652.28
070-0100,"Operations and Support, Office of the Secretary and Executive Management, Departmental Management, Intelligence, Situational Awareness, and Oversight, Homeland Security","Operations and Support, Office of the Secretary and Executive Management, Departmental Management, Intelligence, Situational Awareness, and Oversight, Homeland Security",070,0100,Department of Homeland Security,DHS,070,Office of the Secretary and Executive Management,office-of-the-secretary-and-executive-management,5162,2743527875.12
070-0101,"Counterterrorism Fund, Departmental Management, Intelligence, Situational Awareness, and Oversight, Homeland Security","Counterterrorism Fund, Departmental Management, Intelligence, Situational Awareness, and Oversight, Homeland Security",070,0101,Department of Homeland Security,DHS,070,Office of the Secretary and Executive Management,office-of-the-secretary-and-executive-management,5163,0.35
070-0102,"Department-Wide Technology Investments, Departmental Management, Intelligence, Situational Awareness, and Oversight, Homeland Security","Department-Wide Technology Investments, Departmental Management, Intelligence, Situational Awareness, and Oversight, Homeland Security",070,0102,Department of Homeland Security,DHS,070,Management Directorate,management-directorate,5164,161669009.65
070-0110,"Office of the Secretary and Executive Management, Departmental Management and Operations, Homeland Security","Office of the Secretary and Executive Management, Departmental Management and Operations, Homeland Security",070,0110,Department of Homeland Security,DHS,070,Office of the Secretary and Executive Management,office-of-the-secretary-and-executive-management,5165,209295.4
070-0111,"Office of the Under Secretary for Management, Departmental Management and Operations, Homeland Security","Office of the Under Secretary for Management, Departmental Management and Operations, Homeland Security",070,0111,Department of Homeland Security,DHS,070,Management Directorate,management-directorate,5166,2578605.21
070-0112,"Operations and Support, Management Directorate, Departmental Management, Intelligence, Situational Awareness, and Oversight, Homeland Security","Operations and Support, Management Directorate, Departmental Management, Intelligence, Situational Awareness, and Oversight, Homeland Security",070,0112,Department of Homeland Security,DHS,070,Management Directorate,management-directorate,5167,1389223620.71
070-0113,"Office of the Chief Information Officer, Departmental Management, Intelligence, Situational Awareness, and Oversight, Homeland Security","Office of the Chief Information Officer, Departmental Management, Intelligence, Situational Awareness, and Oversight, Homeland Security",070,0113,Department of Homeland Security,DHS,070,Management Directorate,management-directorate,5168,1047770.01
070-0115,"Operations and Support, Intelligence, Analysis, and Operations Coordination, Departmental Management, Intelligence, Situational Awareness, and Oversight, Homeland Security","Operations and Support, Intelligence, Analysis, and Operations Coordination, Departmental Management, Intelligence, Situational Awareness, and Oversight, Homeland Security",070,0115,Department of Homeland Security,DHS,070,Analysis and Operations,analysis-and-operations,5169,234438376.14
070-0117,"Operations and Support, Cybersecurity and Infrastructure Security Agency, Homeland Security","Operations and Support, Cybersecurity and Infrastructure Security Agency, Homeland Security",070,0117,Department of Homeland Security,DHS,070,Office of Health Affairs,office-of-health-affairs,5171,
070-0200,"Operations and Support, Office of the Inspector General, Homeland Security","Operations and Support, Office of the Inspector General, Homeland Security",070,0200,Department of Homeland Security,DHS,070,Office of the Inspector General,office-of-the-inspector-general,5173,301786715.64
070-0201,"Office of Inspector General - Recovery Act, Homeland Security","Office of Inspector General - Recovery Act, Homeland Security",070,0201,Department of Homeland Security,DHS,070,Office of the Inspector General,office-of-the-inspector-general,5174,
070-0300,"Operations and Support, U.S. Citizenship and Immigration Services, Homeland Security","Operations and Support, U.S. Citizenship and Immigration Services, Homeland Security",070,0300,Department of Homeland Security,DHS,070,Citizenship and Immigration Services,citizenship-and-immigration-services,5175,161058992.58
070-0400,"Operations and Support, United States Secret Service, Homeland Security","Operations and Support, United States Secret Service, Homeland Security",070,0400,Department of Homeland Security,DHS,070,United States Secret Service,united-states-secret-service,5176,2343374369.4
070-0401,"Procurement, Construction, and Improvements, United States Secret Service, Homeland Security","Procurement, Construction, and Improvements, United States Secret Service, Homeland Security",070,0401,Department of Homeland Security,DHS,070,United States Secret Service,united-states-secret-service,5177,780525475.09
070-0405,"Contribution for Annuity Benefits, United States Secret Service, Homeland Security","Contribution for Annuity Benefits, United States Secret Service, Homeland Security",070,0405,Department of Homeland Security,DHS,070,United States Secret Service,united-states-secret-service,5180,296311017.6
070-0406,"Procurement, Construction, and Improvements, Management Directorate, Departmental Management, Intelligence, Situational Awareness, and Oversight, Homeland Security","Procurement, Construction, and Improvements, Management Directorate, Departmental Management, Intelligence, Situational Awareness, and Oversight, Homeland Security",070,0406,Department of Homeland Security,DHS,070,Management Directorate,management-directorate,5181,867812114.79
